Data	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)
18-abr-2009	6,6	6,9	7	7,2	7	3,7	7	5,9	5,5	3,6	4,7	3,3	2,1	2,6	3,1	4,2	3,8	3,8	5	2,7	5,1	3,6	1,1	2,1
19-abr-2009	1,5	2,1	2,8	2,3	2,8	1,3	4,1	3,2	2,5	2	1,4	2,7	3,1	3,3	2,9	4,5	4,9	3,7	3,3	4,2	2,4	3,5	2,8	4,4
20-abr-2009	3,4	2,6	2,7	2,9	2,6	2,1	2,8	2,6	2,6	2,6	2,9	3,8	3,7	4,7	3,8	3,9	2,6	5,4	4,4	5,2	3,6	2,6	2,6	2,4
21-abr-2009	0,7	0,3	1,2	1,6	2,1	1,7	2,1	2,1	1,4	1,6	2,5	3,1	5,6	5,9	7,5	7,3	7,8	7,6	6,5	8,2	9	9,3	8,9	9,9
22-abr-2009	8,3	8,4	9,9	10,1	9,3	8,3	7,5	8,5	8,1	8,1	6,5	6,6	7	7,1	8,6	6,9	7,1	6,5	6,3	7,5	7,9	7,6	7	15,6
23-abr-2009	14,9	12,7	11,6	9,5	10,7	9,8	10,4	6,5	4,5	4,5	4,8	5,7	6,3	5	4,9	3,7	3,6	5	6	5,4	6,3	7	6,5	6,7
24-abr-2009	4,3	5,5	4,8	4,9	4,2	3,5	1,6	3,7	3,3	1,7	0,9	0,1	1,5	2	2,7	3,5	3,7	4,1	5,4	4,6	4,9	5,7	5,7	5,2
25-abr-2009	6,5	6	6,5	4,3	7,7	5,6	6	6,2	4,7	7,8	6,4	6,1	6,1	5,3	5,4	9,1	6,4	4,3	5,2	5,6	4,8	5,6	5,1	4,9
26-abr-2009	4,2	4,7	5,8	4,5	6,5	5,6	3,5	3,5	4,8	4,8	4,8	2,1	2	1,5	3,7	4,5	4,7	5,3	4,7	4,7	2,2	2,6	1,1	1,6
27-abr-2009	1,9	2,1	2,2	2,5	2,7	2,1	3	2,6	2,9	2,5	2,7	3,5	3,2	4,1	4,3	4,6	4,8	5,2	4,7	3,9	3,5	3,3	2,4	2,4
